# IND_NAIS_2018 -- NITI Aayog National Strategy for Artificial Intelligence (2018). Codebook v2.0.1 first pass.
# Document class C: a discussion paper. Its own text states that "specifics (e.g. execution and
# financial implications) have been consciously avoided", so most units carry binding_status "proposed".
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
65|0,0,0,0,1,1|proposed|High||None|Continued international benchmarking: the Alan Turing Institute "announced as the national centre for AI in November 2017", the German Research Centre for Artificial Intelligence as "one of the world's largest AI research institutes", and "the EU's Robotics Public Private Partnership, launched in 2013... allocation of EUR700 million for research to 2020" with "an overall backing of EUR2.8 billion" (T5=1: foreign institutions and funding described, none adopted here). The survey of comparator institutions is competitiveness framing (T6=1).
66|1,0,0,0,2,0|enacted|Moderate||None|"The number of papers published has jumped 10 fold in last 10 years, from 331 papers in 2006 to 3,301 papers in 2016", and "IIT Bombay and IIT Patna have entered into a joint research collaboration with industry to focus on the applied aspects of AI" -- operating research activity with named institutions (T5=2, enacted). Within that collaboration's stated scope is "solving real-life social issues such as malnutrition, human trafficking and climate change through prediction and recommendation models using AI": trafficking prediction is a law-enforcement application whose object is people, named in a list with no programme, budget or implementing body, which is the T1=1 anchor. Confidence is Moderate because the application appears in a single clause.
67|0,0,0,0,1,0|proposed|High||None|A statement of research constraints: "university research is largely restricted to theoretical or laboratory scale. This needs to be augmented with pilot projects / large scale test beds / laboratories", the difficulty of academic institutions constructing and operating test beds alone, and the absence of stakeholder connection to "convert outputs to outcomes" (T5=1: identified gaps with no instrument or funding proposed in this unit). No other theme is engaged.
68|0,0,0,0,2,0|proposed|High||None|The unit closes the constraint analysis -- "lack of large scale mission mode project management capabilities" -- and concludes that "incremental changes would not suffice and there is need for transformational changes to boost research major push coming from the government", opening the "Framework for promoting Artificial Intelligence Research in India" built on the Inter-Ministerial IM-ICPS Detailed Project Report (T5=2: a defined institutional framework with a named antecedent, at recommendation stage). Involving "technology translators" is a delivery mechanism rather than an obligation.
69|0,0,0,0,2,0|proposed|High||None|"COREs will focus on core research of AI, and will take on the mantle of executing the responsibilities of both ICON and CROSS as per the IM-ICPS framework", while "ICTAIs will provide the ecosystem for application based technology development and deployment... an industry-led initiative" executing "CASTLE and CETIT" -- two proposed institution types with mandates mapped onto an existing inter-ministerial framework (T5=2, proposed). The unit is institutional design only; no rights, content, surveillance or cross-border mechanism appears.
70|0,0,0,1,2,1|proposed|High||None|"An umbrella organisation should be established to address issues relating to access to finance, social sustainability and the global competitiveness of the technologies developed. This body, which shall be recognised as the Centre for Studies on Technological Sustainability (CSTS)" is a named proposed institution with defined responsibilities (T5=2). One responsibility is "to monitor the impact of the AI technologies developed at the consumer level through social indices and recommend necessary modifications" -- impact monitoring with a recommendatory output and no audit obligation or remedy (T4=1). Modelling CSTS "on the lines of the Campus for Research Excellence and Technological Enterprise (CREATE), Singapore program or Innovate UK" and pursuing "global competitiveness" is international framing (T6=1).
71|0,0,0,0,2,1|proposed|High||None|"To start with, COREs could be established at IISc, ISI and top IITs and IIITs", with multi-disciplinary linkages "with premier institutions in other disciplines viz. AIIMS for healthcare, TISS for arts and social science" and a "hub-and-spoke model" mentoring other institutes (T5=2: named host institutions and a defined delivery architecture, at recommendation stage). The proposed incentives -- "remunerations matching international standards" to "bring top-tier international faculty, especially the Indian diaspora" -- is talent competition with no control or exclusion mechanism (T6=1).
72|0,0,0,1,2,1|proposed|High||None|"The financial component of COREs for AI, which could be to the tune of INR 50 crore - INR 100 crore per CORE, should also include large scale funding for specific projects", allocated through "an application based model... wherein an applicant institute would have to demonstrate a viability plan" (T5=2: a quantified funding proposal with an allocation mechanism). "Explainable AI" appears as one of the listed CORE focus areas, a research subject rather than a transparency obligation owed to anyone (T4=1). The proposed "International Centers for Transformational Artificial Intelligence" carry an explicit international orientation (T6=1).
73|0,0,0,0,2,0|proposed|High||None|"ICTAI Inc. should work proactively with private sector institutions to seek partnerships to set up the ICTAIs in priority domains", with "well-defined linkages with the COREs" and COREs "incentivised to commercialise their research at ICTAIs", plus a described selection process for ICTAI leadership and funding (T5=2: institutional design with defined governance and delivery mechanisms, at recommendation stage). The unit concerns research organisation only; no rights, content, surveillance or cross-border mechanism appears.
74|0,0,0,0,2,1|proposed|High||None|"The ICTAIs should raise additional funding beyond this base funding, through philanthropic / private contributions, preferably in equity sharing mechanism", and "each ICTAI should have a Governance Board, comprising of industry leaders, academic luminaries and global thought leaders", vetted by ICTAI Inc. (T5=2: a proposed funding and governance architecture with defined roles). Seating "global thought leaders" on governance boards is international engagement without any agreement, funding cluster or control mechanism (T6=1).
75|0,0,0,0,1,1|proposed|High||None|A description of a foreign institution: "The PRAIRIE Institute (PaRis Artificial Intelligence Research Institute) is a collaboration of industry and academia supported by the French government", with named public and corporate partners pursuing fundamental knowledge creation, applied impact and training (T5=1: another country's arrangement described, not adopted here). Its five-year objective "to bring together AI scientific and industrial leaders and make the PRAIRIE Institute a world leader in AI" and to become "an international benchmark" is comparative framing (T6=1).
76|0,0,0,0,2,1|proposed|High||None|"For COREs and ICTAIs to discharge their duties effectively, pooled cloud infrastructure for AI applications should be made available. All the COREs and ICTAIs should be connected to the National Knowledge Network (NKN) and from there via a very high-speed link to a pooled cloud computing environment", with AIRAWAT proposed as "a cloud platform for Big Data Analytics and Assimilation, with a large, power-optimised AI Computing infrastructure" (T5=2: a specified national compute platform built on named existing network infrastructure). "Keeping national data secure" is a sovereignty rationale with no exclusion or control instrument attached (T6=1).
77|0,0,0,1,2,1|proposed|High||None|The AIRAWAT specification -- "multi-tenant multi-user computing support through resource partitioning", a "Deep Learning Software stack", "low latency High bandwidth network" and a "Mass Storage System to collect, store and share multi-petabytes of big data" -- is a detailed national compute infrastructure proposal (T5=2). Its listed utilisation includes "Anonymisation" alongside labelling and analytics, naming a privacy technique as a platform function without any obligation, standard or safeguard attached (T4=1). Benchmarking against "JAPAN's ABCI AI Supercomputing facility" is comparative framing (T6=1).
78|0,0,0,0,2,1|proposed|High||None|"ICTAI Inc., the overall governing body for ICTAIs, could be the DARPA... equivalent of AI research in India. ICTAI Inc. should have the full autonomy on selecting the projects of importance and executing these projects, and should be trusted with a separate budget for pursuing such projects" (T5=2: a proposed institution with a dedicated budget and defined mandate). The DARPA analogy and the reference to Google's Duplex are comparative framing (T6=1). The unit debates whether industry or government should drive moonshot projects but creates no obligation on either.
79|0,1,0,0,2,0|proposed|Moderate||None|"Independence to select projects, design timelines and deliverables and allocate budgets shall fall within the ambit of the ICTAIs with no intervention of any government agency", together with a "fail fast model" giving "the autonomy to shut down projects and shift resources" (T5=2: a proposed research institution with defined operating rules). The explicit exclusion of any government agency from budget allocation and project selection proposes insulation from ordinary administrative and budgetary oversight, which registers weakly on Theme 2 as delegated autonomy stated without an instrument (T2=1). Confidence is Moderate because Theme 2's anchors concern executive override rather than agency independence.
80|0,0,0,0,1,1|proposed|High||None|A case-study box on DARPA: created "in 1958 as response to increased US concerns that Soviet Union may have achieved technological superiority", with a founding mission "to prevent and create strategic surprise", and credited with the internet, GPS, stealth and drones (T5=1: a foreign institution described as a model, not adopted here). The Sputnik framing and the military origin of the agency are geostrategic context (T6=1). No Indian instrument, obligation or commitment appears.
81|0,0,0,0,1,1|proposed|High||None|A case-study box on the CERN analogy, quoting Gary Marcus on "a huge, international collaboration, with thousands of scientists and billions of dollars of funding" that shares results "rather than restricting them to a single country or corporation", and recounting CERN's founding "in 1954 by 12 founding European nations" (T5=1: a description of a foreign institution as a model). The emphasis on "a truly international scientific collaboration" is international framing without any commitment in this unit (T6=1).
82|0,0,0,0,1,2|proposed|High||None|"To achieve #AIforAll... the Government of India should take the lead in bringing together the relevant parties to create People's AI, the CERN for AI" -- a proposal that India establish and lead a new multilateral research institution, supported by the precedent of India "leading the International Solar Alliance", a formalised international body (T6=2: a specified cross-border institutional proposal with a demonstrated model). The climate and solar commitments cited (100GW by 2022, 20GW installed) are context rather than AI programmes (T5=1). It remains a recommendation in a discussion paper.
83|0,0,0,1,1,2|proposed|High||None|The proposed focus areas for an international AI institute include "Opening the Black Box / Explainable AI", "Advanced anonymisation protocols for data security and privacy" and "Ethics in AI" -- research subjects rather than obligations, audits or rights (T4=1). "Declaration on Cooperation in Artificial Intelligence was signed by 25 states of European Union on 10th April 2018" and the call for "commitment and collaboration of truly international standards" cites a named multilateral instrument and proposes India join that class of cooperation (T6=2). OpenAI is cited as a private precedent (T5=1).
84|0,0,0,0,1,0|proposed|High||None|Workforce diagnosis: "NASCCOM predicts that by 2022, a startling 46% of the Indian workforce will be engaged in entirely new jobs that do not exist today or jobs that have radically changed skill sets", demand for AI specialists rising 60%, and a projected shortfall of "2,00,000 data analytics professionals by 2020" (T5=1: labour-market projections with no programme, instrument or commitment in this unit). No other theme is engaged.
85|0,0,0,0,1,1|proposed|High||None|Continued workforce analysis: the growth of India's middle class and millennial demographic as a market for technology products, and the observation that services jobs "will see a large overhaul" as automation spreads (T5=1). "As the permeation of automation increases, and protectionism among previous markets for these services becomes predominant" and the ambition "to establish itself as the future hub for AI related services" places the analysis in an international trade frame (T6=1).
86|0,0,0,0,1,1|proposed|High||None|"As multinational companies move toward 'in-shoring' or 'no-shoring' due to development of automation technology and increasingly protectionist measures globally, it is of critical importance that the outsourcing industry (which currently accounts for roughly 15% of India's total labour force) adapts" (T5=1: a diagnosis of exposure with no instrument proposed here). The driver identified is foreign protectionism and the reshoring of outsourced work, which is an external trade condition rather than an Indian control mechanism (T6=1).
87|0,0,0,0,2,1|proposed|High||None|"It is important to identify and promote creation of jobs that may replace traditional IT-BPM sector jobs in the future... Tasks such as data annotation, for example, have the potential to employ a large quantum of human resources", integrated with "relevant existing skilling initiatives" and new learning platforms (T5=2: a defined employment-generation strategy targeting a named job category, at recommendation stage). Serving "countries all over the world in otherwise capital intensive projects" is service-export framing (T6=1).
88|0,0,0,0,1,0|proposed|Moderate||None|A case study of Samasource, whose "top objective as 'creating technology jobs for the impoverished while delivering the highest quality work in a cost-effective manner'" is delivered through community identification, assessment and "a 3-week dedicated machine learning and image annotation training track" (T5=1: a foreign private-sector model described as illustrative, with no Indian commitment). Confidence is Moderate because the unit is an external case study rather than policy text.
89|0,0,0,0,2,1|proposed|High||None|"Implementation of recognised certificate courses through higher education institutions could be a major boost to recognising resources spent on re-skilling, and holding these institutions to standards in delivery of knowledge" -- a proposed recognition and standardisation mechanism for informal training providers, responding to the finding that "their standard of education is hard to assess for companies looking to hire" (T5=2). The INSOFE example, "certification recognised by the Language Technologies Institute of Carnegie Mellon University", is international accreditation framing (T6=1).
90|0,0,0,0,2,0|proposed|High|YES|Conflicting Statutory Mandates|"It is thus suggested that co-funded models between the government and companies be explored", with incentives that "could include payroll taxes which are dedicated to subsidising training opportunities, income tax deductions for companies participating in reskilling initiatives, special taxes to be paid if a minimum training budget is not disbursed, as well as public grants" (T5=2). The special-tax option places an addressee -- employers -- under a fiscal consequence for failing to meet a minimum training budget, which would be a coercive industrial mandate; but it is offered as one item in a list of options to be "explored", with no rate, threshold or enacting vehicle specified, so the instrument condition of the Score-3 Evidence Test fails. Two of three conditions are met, Theme 5 is capped at 2, and the unit is flagged per codebook 2.2.
91|0,0,0,0,2,0|proposed|High||None|"In primary and secondary schools, there is a need for transition to skill based education in subjects relevant to AI", with "increased amount of project related work across education levels, promoting schemes like the establishment of ATLs (Atal Tinkering Labs) in schools, necessary change in curricula" (T5=2: a named existing scheme plus specified curricular measures, at recommendation stage). The unit concerns education capacity only; no rights, content, surveillance or cross-border mechanism appears.
92|0,0,0,1,2,0|proposed|High||None|"Bridge courses in AI for post-graduates in non-computer science or data science domains", one-year cross-domain courses, and "an institutional framework in place that is responsive to changing scenarios" are proposed education measures (T5=2). "A standing committee or task force comprising of all stakeholders may be constituted by the government with the objective of examining and reporting the changes in employment caused by AI in India" proposes a standing body to monitor labour-market impact, with a reporting rather than an enforcement mandate (T4=1).
93|0,0,0,0,1,1|proposed|High||None|Global adoption context: "a 2017 survey by Statista finds that 78% of firms globally are either using AI extensively, or have plans for use in near future", while McKinsey finds "deployment at scale has been rare" with "only 20% us[ing] any AI relat[ed]" technology at scale (T5=1: survey findings with no Indian instrument or commitment). "Firms in China and the US especially, are proactively engaging with their research communities to enable early adoption and position themselves competitively" is comparative framing (T6=1).
94|0,0,0,0,1,1|proposed|High||None|"India's IT industry with over USD160 billion annual revenue, has yet to build pioneering AI / ML capabilities commensurate with its potential", though "the top 5 IT service companies have begun to use AI", with Wipro's Holmes, TCS's Ignio and Infosys's Nia named (T5=1: industry description with the conclusion that intervention is needed, but no instrument specified here). "Lest India lose the chance to secure a prominent position on the global AI map" is competitiveness framing (T6=1).
95|0,0,0,0,1,1|proposed|High||None|Barriers to adoption: industry-specific data "concentrated in the hands of a few major players", making it "difficult for new entrants to deliver tailor made services that can compete with data rich incumbents such as Facebook or Google", and "high cost and low availability of computing infrastructure" (T5=1: a diagnosis of market failure with no instrument in this unit). "Lack of infrastructure has led to many Indian AI startups to incorporate their business outside the country" identifies a cross-border capital and capability leakage (T6=1).
96|0,0,0,0,1,0|proposed|High||None|An analysis of why the AI value chain raises entry barriers: small firms cannot "vertically integrate all these processes", and without "a strong, stable price discovery mechanism" incentives across the value chain will not align, compounded by "the difficulty of acquiring the raw material (data) in the first place" (T5=1: a market-structure diagnosis motivating the marketplace recommendation that follows). No obligation, right, content or cross-border mechanism appears.
97|0,0,0,0,2,0|proposed|High||None|The marketplace recommendation is developed with defined effects: "encouraging specialisation in different niches by firms and creation of novel business models", so that "a new segment of startups could entirely focus on the problem of curating raw data to be put on the marketplace", and "unlocking new sources of data and enabling more efficient use of computational and human resources" (T5=2: a specified market mechanism with an articulated theory of how it changes firm behaviour, at recommendation stage).
98|0,0,0,2,2,0|proposed|High|YES|Conflicting Statutory Mandates|"There is no mechanism currently to ensure that appropriate permissions are taken from the actual data owners before data custodians share the data", and under the proposed formal marketplace "it would become necessary for firms to take consent of individuals getting imaged to aggregate and sell their data. This could create mechanisms through which individuals are ultimately compensated" (T4=2). An addressee (data custodians and firms) and an instrument (the proposed formal marketplace with consent conditions) are present, but no penalty, audit or exclusion attaches to non-compliance, so two of the three Score-3 conditions are met, Theme 4 is capped at 2, and the unit is flagged per codebook 2.2. Recommendation 2 on "facilitating creation of large foundational annotated data sets" supplies the economic mechanism (T5=2).
99|0,0,0,0,2,0|proposed|High||None|"It is necessary for the government to explore assistance in building of large corpora of data across domains, as a means of laying the foundation for startups and enterprises to build applications and services which are tailor-made to the Indian context, and in the process lowering entry barr[iers]" (T5=2: a defined state role in building foundational data assets). The unit also documents the annotation industry -- "Alegion, Scale, CloudFactory, Mighty AI, and CrowdFlower... have received about USD50 million in investment funding" -- as market evidence.
100|0,0,0,0,2,1|proposed|High||None|"In India, Academic Entrepreneurship is being taken up through mechanisms such as the development of dedicated e-cells in institutions such as IIT Bombay, IIT Madras and IIM Ahmedabad", and "collaboration between Research Organisations is required to promote the 'AI+X' paradigm" (T5=2: existing institutional mechanisms plus a specified collaboration model). "Several successful US universities have co-located departments which enabled close collaboration" is comparative framing, and MNC knowledge transfer is noted as an existing partnership channel (T6=1).
101|0,0,0,0,2,1|proposed|High||None|"Collaboration with trade bodies and Venture Capitals is essential for successful functioning of a profitable business", with such bodies helping firms share problems and solutions and access ground-level learning (T5=2: a defined collaboration mechanism within the adoption recommendations). Trade bodies are also credited with "collectively identifying new international markets for such products / technologies and in lobbying/negotiating for favourable trade norms with the national and international bodies" -- market access and norm advocacy conducted by industry associations rather than by the state (T6=1). At 350 words the unit is exactly at the ceiling.
102|0,0,0,0,2,0|proposed|High||None|Recommendation 5 proposes that "incubation hubs specifically for AI startups in collaboration with State Governments and private sector stakeholders need to be set up to provide space, and other infrastructure facilities", and the "establishment of fund to provide grant funding to startups to facilitate their operation and business" (T5=2: named delivery vehicles with defined instruments). The unit also records existing capacity building "with organisations such as Google to organise capacity building training and workshops for government functionaries".
103|0,0,0,0,2,0|proposed|High||None|The data marketplace case: incumbents "enjoy an oligopoly" because they can "buy data in the informal market setting" and run "specialised departments", while "in the process of informal data acquisition as well, there is no proper price discovery mechanism in place" and "data providers are likely to be substantially underpaid" (T5=2: the formal marketplace is proposed as the corrective mechanism, with a specified market failure it is designed to address). No obligation or penalty attaches to any party.
104|0,0,0,0,1,0|proposed|High||None|An analysis of the properties of data -- permanence, ubiquity, the transport complexity of growing datasets -- and the resulting difficulties: "the primary assumption of a data marketplace in operation is that data custodians will share the data on the marketplace. Organisations may be reluctant to do so", and transaction fees and rigid pricing "add to inefficiencies" (T5=1: a critique of the proposed mechanism's feasibility, with no instrument added here).
105|0,0,0,2,2,0|proposed|High||None|"The process of exchange, with enforced provisions of privacy and anonymisation, brings a market determined value to data and thus forces the existing informal data exchange economy, without any privacy protection, to move towards a formal economy", and "the government can establish a committee of experts, researchers, AI developers and regulators to create the standards the data marketplace will adhere by" -- proposed institutional privacy governance with a named standard-setting body including regulators, which is the T4=2 anchor. The exchange itself is the economic mechanism (T5=2). The Ocean Protocol blockchain curation model is cited as a design precedent.
106|0,0,0,0,2,0|proposed|High||None|Design features for the annotation marketplace: "verification mechanisms such as multiple annotation, verification of samples by trained professionals", and "establishing verified traceability... to identify poor annotators, and create mechanisms to reduce the effect of error generated", benchmarked against MTurk, Figure-Eight and ClickWorker (T5=2: specified quality-assurance mechanisms for a proposed market). Identifying poor annotators is quality control within a commercial platform, not state monitoring of persons, so Theme 1 is not engaged.
107|0,0,0,0,2,0|proposed|High||None|"A crowdsourced platform for annotation, on the lines of the highly popular government's citizen participation platform myGov.in, can be established by the government (to be operated by a private player) where seed data for annotation can be provided by the organisations mentioned above", using existing government datasets that are "largely unused due to lack of proper annotation, prohibitive cost associated with the process, and lack of proper mechanisms for acquisition" (T5=2: a proposed state-established platform with a named operating model and data sources).
108|0,0,0,0,2,0|proposed|High||None|The deployable model segment "should focus on defined deployable models that can be bought or sold... either be bought and sold as data, or more likely, as a service or an API layer that can be charged per use", attracting enterprises that "post problems which they are seeking to be solved using AI tools", with "governments... another party to announce specific problems which they intend to be solved" (T5=2: a specified market design with defined participants and transaction forms). No obligation, right, content or cross-border mechanism appears.
109|0,0,0,0,2,0|proposed|High||None|Implementation design for the marketplace: "the platform should be able to prescribe some basic standards for data sharing which will allow non-ML savvy PSUs to post problems and data", and "incentives to attract both seekers and providers initially will need to be figured out. PSUs and government agencies may act as initial seeders/user[s]" (T5=2: a specified platform design with a state-led adoption strategy). The standards described are technical data-sharing specifications rather than privacy obligations.
110|2,0,1,0,2,0|proposed|Moderate|YES|Polysemic Uncertainty|The demand-side use case list for the National AI Marketplace opens with "traffic authorities and police: real-time object detection in CCTV video feeds, face detection and object tracking, number plate detection" -- facial recognition, person tracking and number-plate identification specified as procurement categories for police, whose object is unambiguously people and whose purpose is enforcement. The mechanism is named with operational specificity and attributed to a named class of state user, which takes it past the "named without a programme" level to T1=2, though no budget or deployment is attached. "All India Radio and Prasar Bharti: speech-to-text services for transcription and analysis" and document sentiment analysis place state broadcast and document content under automated analysis without any obligation on any party (T3=1). Agriculture, freight and citizen chatbots supply the economic baseline (T5=2). Confidence is Moderate because the list is a procurement demand signal rather than a funded programme; flagged on the mandatory T1 trigger.
111|0,0,0,0,2,0|proposed|High||None|"Technology adoption, especially AI, can significantly improve operational efficiency and drive down operational costs incurred by PSUs operating in financially unsustainable but socially critical areas", and "the NAIM allows the public sector firms to directly scout for solutions which they can use in their business operations" (T5=2: a specified role for the proposed marketplace in public-sector modernisation). The constraints described -- regulations on "procurement, manpower hiring" -- are noted as context rather than targeted for exemption.
112|0,0,0,2,2,0|proposed|High||None|"Instead of attempting to build such marketplaces, which it is not equipped to do so, the government should come out with enabling regulations... These would include regulations and standard permissions for any personal data being sold, standards for anonymisation, standards for ensuring annotation accuracy, and cybersecurity standards for the module dealing with deployable models" -- a proposed regulatory framework governing the sale of personal data with named components, which is the T4=2 anchor for a published framework short of enumerated obligations and penalties. "It is proposed that a decentralised data marketplace based on distributed ledger technology be set up" and the government may "build the NAIM platform where all relevant stakeholders can sign up" (T5=2).
113|0,0,0,1,1,0|proposed|High||None|The chapter opening frames the problem: "any strategy document on promoting AI, necessarily needs to be conscious of the probable factors of the AI ecosystem that may undermine ethical conduct, impinge on one's privacy and undermine the security protocol", distinguishing ethics (bias propagation), privacy ("collection and inappropriate use of data for personal discrimination") and security (accountability) (T4=1: an issue statement with no framework, body or obligation proposed in this unit). At 356 words the unit exceeds the ceiling and is flagged.
114|0,0,0,1,1,0|proposed|High||None|"One possible way to approach this would be to identify the in-built biases and assess their impact, and in turn find ways to reduce the bias. This reactive approach, use-case based, may help till the time we find techniques to bring neutrality to data feeding AI solutions", followed by the diagnosis of the "Black Box Phenomenon" (T4=1: a proposed analytical approach to fairness with no instrument, oversight body or obligation attached). The unit calls for "a combined dialogue and sustained research" rather than a mechanism.
115|0,0,0,1,1,0|proposed|High||None|"Explainable Artificial Intelligence (XAI) is an evolving area of research", illustrated by DARPA's XAI programme aiming to "produce more explainable models, while maintaining a high level of learning performance" and "enable human users to understand, appropriately trust, and effectively manage" AI systems, with the normative claim that "the machine learning algorithms of tomorrow should have the built-in capability to explain their logic" (T4=1: explainability as a research direction and a design aspiration, not an obligation owed to anyone). The research programme described is foreign (T5=1).
116|0,0,0,1,1,0|proposed|High||None|"Data collection without proper consent, privacy of personal data, inherent selection biases and resultant risk of profiling and discrimination, and non-transparent nature of AI solutions are some of the issues requiring deliberation and proper recourse" (T4=1: an enumeration of privacy harms with recourse left undefined). The profiling described is by companies "harvesting significant amounts of consumer data and using it inappropriately", which is commercial rather than state monitoring, so Theme 1 is not engaged.
117|0,0,0,3,0,1|proposed|Moderate||None|"The work being done by Justice Srikrishna Committee on data protection law is very opportune and timely. The 7-core principles of data protection and privacy - informed consent, technology agnosticism, data controller accountability, data minimisation, holistic application, deterrent penalties and structured enforcement - are quite comprehensive and should provide a strong privacy protection regime in the country once enacted." Instrument (an enumerated framework whose obligations are identifiable), addressee (data controllers) and consequence ("deterrent penalties and structured enforcement") are all present, so T4=3 under the permissive reading of Evidence Test condition 1; binding_status is proposed because the regime is not yet law. Confidence is Moderate because the strict-versus-permissive reading of condition 1 remains an open PI item. Japanese and German sectoral frameworks are cited as models (T6=1).
118|0,0,0,2,0,1|proposed|High||None|"European Union's General Data Protection Regulation (GDPR) guidelines, which have been enforced in May 2018, encourage design of less-privacy invasive systems. French laws give a right to explanation for administrative algorithmic decisions, making it much more comprehensive than GDPR on administrative decisions" -- foreign instruments described with some of their content, against which "India's privacy protection regime will have to be continually updated" (T4=2: a stated direction of regulatory development, with the enforceable instruments belonging to other jurisdictions). "Encourage AI developers to adhere to international standards", citing the IEEE Global Initiative's chapter on "Personal Data and Individual Access Control in Ethically Aligned Design", is voluntary international alignment (T6=1).
119|0,0,0,2,1,1|proposed|High|YES|Missing Operational Context|"India should collaborate on areas of research like Differential Privacy, Privacy by Design, Safety-Critical AI and Multi-Party Computations which enable protection of privacy despite data sharing at a wide scale" is a funded-research direction for privacy technology (T4=2, alongside the awareness commitment). "Privacy has been termed as a fundamental right by the Supreme Court of India" cites a binding constitutional holding but describes none of its content or consequences, so under codebook 8.2 the unit is flagged for missing operational context and Theme 4 is not lifted by an instrument the text does not describe. The research collaboration is both economic capacity (T5=1) and international engagement (T6=1). At 345 words the unit sits inside the ceiling.
120|0,0,0,2,1,0|proposed|High|YES|Conflicting Statutory Mandates|"One possible framework that can be mooted involves the following components: a. Negligence test for damages caused by AI software, as opposed to strict liability. This involves self-regulation by the stakeholders by conducting damage impact assessment at every stage of development of an AI model. b. As an extension of the negligence test, safe harbours need to be formulated to insulate or limit liability". An addressee (AI developers) and a consequence (civil liability under a negligence standard, with impact assessment at every development stage) are both present, but the instrument is explicitly "mooted" with no legislative vehicle, so two of the three Score-3 conditions are met, Theme 4 is capped at 2, and the unit is flagged. Note that the proposed direction limits rather than expands liability. At 341 words the unit sits inside the ceiling.
121|0,0,0,0,2,0|proposed|High||None|The summary table of government actions opens with research: "identify academic institutions, provide fiscal support to establish COREs focusing on core technology research in AI" and "institute National AI Fellowships to retain outgoing PhD students and attract researchers", with the role of government defined as "a facilitator, an active promoter and wherever required, of an owner" (T5=2: named instruments with a defined state role). At 424 words the unit exceeds the ceiling and is flagged; it is a table rendered as prose, which is why it runs long.
122|0,0,0,1,2,0|proposed|High||None|Table rows covering skills: "set up AI / Data Science training standards, as per National Skills Qualification Framework, and provide certifications to training institutes", "incentivise investment in training of employees through tax breaks and grants for employers", credit-bearing MOOCs, bridge courses, and "introduce AI modules in Atal Tinkering Labs" (T5=2: named instruments mapped to an existing national qualification framework). "Constitute a standing committee or taskforce to examine and report on changes in employment induced by adoption AI" is a monitoring body with a reporting mandate (T4=1).
123|0,0,0,1,2,0|proposed|High||None|Table rows covering data: "explore partnerships and co-fund building of large corpora of data across domains", "announce grand challenge tasks for tagging of images, text or videos, and devising reward based mechanisms", and co-funding "the establishment of: 1. Data marketplace 2. Data annotation marketplace 3. Deployable model marketplace" (T5=2: named instruments with a defined state financing role). "Create governance guidelines" for the National AI Marketplace names a governance instrument without specifying its obligations (T4=1).
124|0,0,0,2,2,0|proposed|High||None|"Set up a consortium of Ethics Councils at each CORE and ICTAI to define the standard practices and monitor their adoption", "address and implement data protection legal framework, which protects human rights and privacy without stifling innovation in India", and "collaborate with industry to come out with sector specific guidelines on privacy, security and ethics - on manufacturing, financial services, identity, telecommunication, robotics" -- named governance bodies with a monitoring function plus a proposed statutory framework and sectoral guidelines, which is the T4=2 anchor. "Establish incubation hubs and venture funds specifically for AI startups in collaboration with State Governments" is the economic instrument (T5=2).
125|0,0,0,0,0,0|n/a|High||None|Appendix material explaining machine learning: "machine learning algorithms detect patterns and learn how to make predictions and recommendations by processing data and experiences, rather than by receiving explicit programming instruction", followed by a comparison table of supervised, unsupervised and reinforcement learning. The unit is a technical definition with no policy content, no actor under obligation, no programme and no normative claim, so all six themes are 0 and binding_status is n/a.
126|0,0,0,0,0,0|n/a|High||None|A continuation of the appendix comparison table, setting out when to use each type of machine learning and how each works, using housing prices, customer journeys and portfolio trading as illustrations. It is instructional material about algorithm classes with no policy content of any kind, so all six themes are 0 and binding_status is n/a.
127|0,0,0,0,0,0|n/a|High||None|Appendix material defining deep learning: "interconnected layers of software-based calculators known as 'neurons' form a neural network. The network can ingest vast amounts of input data and process them through multiple layers that learn increasingly complex featu[res]". The unit is a technical definition with no policy content, no actor under obligation and no normative claim, so all six themes are 0 and binding_status is n/a.
128|0,0,0,0,0,0|n/a|High||None|A worked mechanical illustration of convolutional and recurrent neural networks -- how a CNN classifies the letter "A" from pixels and how an RNN carries state across a sentence. It is instructional appendix material with no policy content of any kind, so all six themes are 0 and binding_status is n/a.
129|0,0,0,0,1,1|proposed|High||None|The unit closes the RNN illustration and opens Appendix II's global review with the observation that "countries around the world are becoming increasingly aware of the potential economic and social benefits of developing and applying AI", citing that "China and U.K. estimate that 26% and 10% of their GDPs respectively in 2030 will be sourced from AI-related activi[ties]" (T5=1: economic projections attributed to other states). The comparative GDP framing is competitiveness context (T6=1); no Indian instrument is proposed.
130|0,0,0,0,1,1|proposed|High||None|A country-by-country summary of thematic priorities: China on public service delivery "through financial support, developing talent pipeline, and leveraging international cooperation", Japan "moving from the 'Industry 4.0' paradigm to 'Society 5.0'", and France's areas of interest (T5=1: foreign programmes described, none adopted here). The survey format is comparative benchmarking (T6=1).
